record_number,date,time,location,sample_duration_s,flow_CFM,laser_ok,flow_ok,temp_ok,rh_ok,timestamp_valid,temp_C,RH_pct,ch1_size_um,ch1_diff_counts,ch1_diff_ft3,ch1_diff_m3,ch1_diff_mass_ugm3,ch1_sum_m3,ch1_pm_ugm3,ch2_size_um,ch2_diff_counts,ch2_diff_ft3,ch2_diff_m3,ch2_diff_mass_ugm3,ch2_sum_m3,ch2_pm_ugm3,ch3_size_um,ch3_diff_counts,ch3_diff_ft3,ch3_diff_m3,ch3_diff_mass_ugm3,ch3_sum_m3,ch3_pm_ugm3,ch4_size_um,ch4_diff_counts,ch4_diff_ft3,ch4_diff_m3,ch4_diff_mass_ugm3,ch4_sum_m3,ch4_pm_ugm3,ch5_size_um,ch5_diff_counts,ch5_diff_ft3,ch5_diff_m3,ch5_diff_mass_ugm3,ch5_sum_m3,ch5_pm_ugm3,ch6_size_um,ch6_diff_counts,ch6_diff_ft3,ch6_diff_m3,ch6_diff_mass_ugm3,ch6_sum_m3,ch6_pm_ugm3,sync_time
28986,2026-08-02,20:03:03,Location 1,60.0,0.1,True,True,True,True,False,21.5,62,0.3,1292.0,12920.0,456296.0,0.04,480311.0,0.0,0.5,65.0,650.0,22956.0,0.01,24015.0,0.04,1.0,3.0,30.0,1059.0,0.01,1059.0,0.05,2.5,0.0,0.0,0.0,0.0,0.0,0.06,5.0,0.0,0.0,0.0,0.0,0.0,0.06,10.0,0.0,0.0,0.0,0.0,0.0,0.06,2026-08-02T20:03:05.171600
28987,2026-08-02,20:05:04,Location 1,60.0,0.1,True,True,True,True,False,21.3,62,0.3,1466.0,14658.0,517662.0,0.04,537789.0,0.0,0.5,54.0,539.0,19068.0,0.01,20127.0,0.04,1.0,3.0,29.0,1059.0,0.01,1059.0,0.05,2.5,0.0,0.0,0.0,0.0,0.0,0.06,5.0,0.0,0.0,0.0,0.0,0.0,0.06,10.0,0.0,0.0,0.0,0.0,0.0,0.06,2026-08-02T20:05:06.273704
28988,2026-08-02,20:07:04,Location 1,60.0,0.1,True,True,True,True,False,21.3,63,0.3,1230.0,12300.0,434382.0,0.04,452745.0,0.0,0.5,45.0,450.0,15892.0,0.01,18363.0,0.04,1.0,6.0,60.0,2118.0,0.01,2471.0,0.05,2.5,1.0,10.0,353.0,0.02,353.0,0.06,5.0,0.0,0.0,0.0,0.0,0.0,0.08,10.0,0.0,0.0,0.0,0.0,0.0,0.08,2026-08-02T20:07:07.687502
28989,2026-08-02,20:09:03,Location 1,60.0,0.1,True,True,True,True,False,21.3,62,0.3,1153.0,11528.0,407137.0,0.03,426204.0,0.0,0.5,48.0,479.0,16949.0,0.01,19067.0,0.03,1.0,6.0,59.0,2118.0,0.01,2118.0,0.04,2.5,0.0,0.0,0.0,0.0,0.0,0.05,5.0,0.0,0.0,0.0,0.0,0.0,0.05,10.0,0.0,0.0,0.0,0.0,0.0,0.05,2026-08-02T20:09:08.783528
28990,2026-08-02,20:11:03,Location 1,60.0,0.1,True,True,True,True,False,21.4,62,0.3,1042.0,10421.0,368043.0,0.03,383230.0,0.0,0.5,41.0,410.0,14481.0,0.01,15187.0,0.03,1.0,2.0,20.0,706.0,0.0,706.0,0.04,2.5,0.0,0.0,0.0,0.0,0.0,0.04,5.0,0.0,0.0,0.0,0.0,0.0,0.04,10.0,0.0,0.0,0.0,0.0,0.0,0.04,2026-08-02T20:11:09.879082
28991,2026-08-02,20:13:03,Location 1,60.0,0.1,True,True,True,True,False,21.5,62,0.3,1607.0,16071.0,567553.0,0.05,596865.0,0.0,0.5,78.0,780.0,27547.0,0.02,29312.0,0.05,1.0,5.0,50.0,1765.0,0.01,1765.0,0.07,2.5,0.0,0.0,0.0,0.0,0.0,0.08,5.0,0.0,0.0,0.0,0.0,0.0,0.08,10.0,0.0,0.0,0.0,0.0,0.0,0.08,2026-08-02T20:13:05.976226
28992,2026-08-02,20:15:03,Location 1,60.0,0.1,True,True,True,True,False,21.5,62,0.3,1436.0,14361.0,507183.0,0.04,522016.0,0.0,0.5,38.0,380.0,13421.0,0.01,14833.0,0.04,1.0,2.0,20.0,706.0,0.0,1412.0,0.05,2.5,2.0,20.0,706.0,0.05,706.0,0.05,5.0,0.0,0.0,0.0,0.0,0.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.1,2026-08-02T20:15:07.079082
28993,2026-08-02,20:17:04,Location 1,60.0,0.1,True,True,True,True,False,21.3,62,0.3,1041.0,10410.0,367652.0,0.03,383897.0,0.0,0.5,44.0,440.0,15539.0,0.01,16245.0,0.03,1.0,2.0,20.0,706.0,0.0,706.0,0.04,2.5,0.0,0.0,0.0,0.0,0.0,0.04,5.0,0.0,0.0,0.0,0.0,0.0,0.04,10.0,0.0,0.0,0.0,0.0,0.0,0.04,2026-08-02T20:17:08.791916
28994,2026-08-02,20:19:03,Location 1,60.0,0.1,True,True,True,True,False,21.3,62,0.3,735.0,7350.0,259582.0,0.02,269823.0,0.0,0.5,28.0,280.0,9888.0,0.01,10241.0,0.02,1.0,1.0,10.0,353.0,0.0,353.0,0.03,2.5,0.0,0.0,0.0,0.0,0.0,0.03,5.0,0.0,0.0,0.0,0.0,0.0,0.03,10.0,0.0,0.0,0.0,0.0,0.0,0.03,2026-08-02T20:19:09.891131
28995,2026-08-02,20:21:03,Location 1,60.0,0.1,True,True,True,True,False,21.4,62,0.3,594.0,5941.0,209805.0,0.02,218281.0,0.0,0.5,22.0,220.0,7770.0,0.0,8476.0,0.02,1.0,2.0,20.0,706.0,0.0,706.0,0.02,2.5,0.0,0.0,0.0,0.0,0.0,0.02,5.0,0.0,0.0,0.0,0.0,0.0,0.02,10.0,0.0,0.0,0.0,0.0,0.0,0.02,2026-08-02T20:21:06.561841
